USER_ID,PROD_ID,RATING,AVG_RAT,USEFUL,DUP_CNT
x7Np-ngv33RIxVigvVaWsw,q8fD82us6uuGufvI44NoAg,3,4.0,0,0
nqs6Avj7bfyavMUHO0XVBg,Wn8NhS-L1ck6jbTjX88Kkg,4,4.0,0,0
AC4-bAcxK_E1nwUPaYYqmQ,77ESrCo7hQ96VpCWWdvoxg,2,3.0,0,0
-Z6NkbylDRrNxLzcC4m3Mg,6oDZ78JiSKjXVLcurCpnhw,1,3.0,4,4
2sklUYBnk7LxzM-11yPUPg,LRKJF43s9-3jG9Lgx4zODg,5,4.5,1,0
Xqd0DzHaiyRqVH3WRG7hzg,vcNAWiLM4dR7D2nwwJ7nCA,5,3.5,2,0
8CuL35s__PeCu7tUKjaoIw,1-EIdeHewfEVcpoZm38N8A,1,4.0,1,0
AXz26iQxhQQF7FFCkDNJ6w,KW6HejC-67KSL9J8Cz1dSw,1,3.0,2,0
tAyaQN7f8uuOWMUk_CgJvQ,KW6HejC-67KSL9J8Cz1dSw,1,3.0,0,0
F7CkTfv0Bg_fS0vgPjIp8w,B0Vuwn6Hugc-0U5n31YBfg,5,4.0,0,0
dH6503VACM6OKxsz4weYvg,q8fD82us6uuGufvI44NoAg,3,4.0,0,0
BY9Eyuam4yTP4J2G0jHIyg,rdAdANPNOcvUtoFgcaY9KA,3,3.5,1,4
XmSPy_RTZArCirAqWsVP6w,lN-5-YTsaJr_IByyA476iw,4,4.0,2,0
OtpHvQFGbZ4sONaQAXankg,JwUE5GmEO-sH1FuwJgKBlQ,3,4.0,0,0
CfHKRE1PJL2snv1ICGhgeA,YaaQx4qt1f36iFT4TWivAw,3,3.5,0,0
EgBU9oKVNCTzvvZmdqCOzg,GHvLvSN_imiXxqsgFPskWA,5,5.0,1,0
7OP-I_VSr6L7FlzsqWjdIw,kiAsweI4sOjDzGyz3Y_HsQ,5,4.5,1,0
cUyEbaD9hdjQRSbSymKv6w,jpxlSFhdrtbNyxS6vB036A,4,4.0,1,1
1M_ggx6qqhB7IKDIcdXs-w,c5awCF5eu0ZkxUf_i94uPA,3,3.5,0,0
CH5RheU8pnBg5h8I4XLC8g,G1qUGBNYNS220jKlPAlFsA,5,4.0,0,0
gqtak7Wz8azWHlAMkx6Acg,YaaQx4qt1f36iFT4TWivAw,1,3.5,0,0
Jpb5uSnlLKD4RJzk7UGwkQ,HaBkx5PwvbBpQ2iNCgHnVQ,4,3.5,1,0
b2z-VskoGBHP9IjVvDM_kw,3zD6rxB92Mr0jb-LoYFFWw,1,1.5,0,0
uSlKnryLlnD3mvmG6DIyCg,c5awCF5eu0ZkxUf_i94uPA,3,3.5,1,52
CfHKRE1PJL2snv1ICGhgeA,1-EIdeHewfEVcpoZm38N8A,2,4.0,0,0
dOxlPK7NpuFLh70-l8j45w,wl-7A4jC0f27MOEmW-XTbQ,4,3.0,0,0
ECOZNokNazcdgocyCRJw6g,XrzTVrJAjs0yYLvhFI9vkQ,5,5.0,0,0
oFhtzLhXS1iENWoBMdWk4w,_tnYCShXuDlXjNVNctTkCA,4,4.5,1,0
03vp3tenQ0aQOr0AE5j8Uw,AYoLKzRFajucKnjIFxc__A,2,2.5,4,21
L-cexm4-3KDqtL6kGfjzBA,1-EIdeHewfEVcpoZm38N8A,4,4.0,6,0
HK6EtMteafAdWkcDChTqVg,MKsb2VpLB-0UBODcInDsSw,1,2.5,0,0
Y-nr6eaHwP3HF1jV4JKDJw,oc0rCahXOaJeHLzzDdSfyA,3,3.0,1,0
zJU0H-OQIbSfU9tStgFEtg,SKLw05kEIlZcpTD5pqma8Q,1,3.0,0,0
Jv6lq527bHVW1EbrqzZXag,rdAdANPNOcvUtoFgcaY9KA,5,3.5,0,0
4AGRXB5C588iitXZY-y3wQ,HxPpZSY6Q1eARuiahhra6A,5,4.0,2,15
SXRG5zTc2kiezMe-lWa9aQ,SKLw05kEIlZcpTD5pqma8Q,2,3.0,0,0
cBBarVpwP94MsS63W4KKZg,uyp8kpTXKfKXvAB8HdJSAA,4,3.5,1,0
H7Oqx7unyozYf72d8MXHBQ,_wZTYYL7cutanzAnJUTGMA,4,3.5,2,38
N_oCGVfcOxR3PbgQiyOCvw,ckLRf3lYn9DxmNxd-mu2yA,1,2.5,0,0
-hwN2juKYn-KTxa2WBYLnw,_wZTYYL7cutanzAnJUTGMA,2,3.5,1,4
mP5iB0oGlcRX-7akLR7Hjg,X47o6R2rWiqGqvBtC7VS3Q,1,4.0,2,17
spPw301AwzOqN0nTGXqsKg,_wZTYYL7cutanzAnJUTGMA,1,3.5,0,0
Vj0ZfqKHotsR8EJoIHOC4w,Xp7OA8gz7zDgB3I54jyb4g,5,3.0,0,0
GiRGlCK8cKx8NXZBDQ5dfw,xbJ9tdGbcVJIUkNgHSCwZQ,3,2.5,1,0
CzQv61Gp80PZXCIdf-NNcQ,Wn8NhS-L1ck6jbTjX88Kkg,5,4.0,2,0
yiWeQMJ2zT39FWFxx4BdhQ,KW6HejC-67KSL9J8Cz1dSw,5,3.0,0,0
iYBReosVMuXuoCGRUSg0wg,ckLRf3lYn9DxmNxd-mu2yA,4,2.5,0,0
MircYVyvnYQi_9lN710QWA,ShEYKerTwb2LSORE5o_s7A,5,3.5,0,0
pmN_7O8l7hjPr6VH5LEdbQ,MBQc_jlZ3nlMOZy7SUM_5Q,3,4.0,0,0
6kp815UUjK--ukUjmDlSCQ,zOc8lbjViUZajbY7M0aUCQ,1,3.5,0,0
0WdhTivnuy86t3SAankR-A,koRLvzIl-4fCybOIdk56jA,4,4.0,1,0
oFhtzLhXS1iENWoBMdWk4w,oJUAJ6uqMbFYJjtPjanjRg,2,3.0,1,0
oFhtzLhXS1iENWoBMdWk4w,SKLw05kEIlZcpTD5pqma8Q,2,3.0,1,0
hC0h5SpuCDEKTYVESKKjRw,bMnr4RK5HEFvpuuxB5xRoA,2,4.0,2,0
7AJlNv1gAAI3dDwPT_PPNA,KFJ1jBfFkRfyn3AoAUl3YQ,4,4.0,0,0
yUkWGeu4B6OGE-7GNlYrjA,q8fD82us6uuGufvI44NoAg,4,4.0,0,0
Bbm6c5CHf5IJG5ju0ozXZQ,B0Vuwn6Hugc-0U5n31YBfg,5,4.0,0,0
Zoi9zXFY6DpvGWY33_8_pg,9brW55Vzyi3ItboHWfoepg,1,2.5,3,0
